Time (hour),Mean concentration µg/ml
0.25,3.646205979
0.5,5.418438154
0.75,4.170596834
1,4.009477199
1.5,3.399687598
2,2.938488366
3,2.538004984
4,2.068870335
5,1.486199574
6,1.165248233
8,0.737388886
10,0.605806828
12,0.438925961
